level,condition,value,test_requests,eligible_requests,matched_requests,ambiguous_requests,watch_anchors,precision,recall,f1
user,retention,1.0,4599,3530,2069,0,213,0.9497341710971484,0.556657223796034,0.7019110555456333
user,retention,0.75,4599,3530,1936,0,212,0.9524793388429752,0.5223796033994335,0.6747164288327845
user,retention,0.5,4599,3530,1525,0,208,0.958688524590164,0.4141643059490085,0.5784371909000988
user,retention,0.25,4599,3530,795,0,189,0.9660377358490566,0.21756373937677054,0.3551445086705203
user,retention,0.0,4599,3530,0,0,0,0.0,0.0,0.0
user,later_alias_rotation,0.0,4599,3530,2069,0,213,0.9497341710971484,0.556657223796034,0.7019110555456333
user,later_alias_rotation,0.25,4599,3530,1983,0,213,0.9475542107917297,0.5322946175637394,0.6816615272991112
user,later_alias_rotation,0.5,4599,3530,1682,0,213,0.9381688466111772,0.4470254957507082,0.6055257099002302
user,later_alias_rotation,0.75,4599,3530,923,0,213,0.9371614301191766,0.24504249291784702,0.3885021333932181
user,later_alias_rotation,1.0,4599,3530,0,0,213,0.0,0.0,0.0
user,shared_anchor_collision,0.0,4599,3530,2069,0,213,0.9497341710971484,0.556657223796034,0.7019110555456333
user,shared_anchor_collision,0.05,4599,3530,2069,0,208,0.9497341710971484,0.556657223796034,0.7019110555456333
user,shared_anchor_collision,0.1,4599,3530,2069,0,205,0.9497341710971484,0.556657223796034,0.7019110555456333
user,shared_anchor_collision,0.25,4599,3530,2102,0,173,0.9262607040913415,0.5515580736543909,0.69140625
project,retention,1.0,4599,4236,3002,0,192,1.0,0.7086874409820585,0.8295109146172975
project,retention,0.75,4599,4236,2720,0,192,1.0,0.6421152030217187,0.7820586543990801
project,retention,0.5,4599,4236,2186,0,191,1.0,0.516052880075543,0.6807848022422922
project,retention,0.25,4599,4236,1272,0,187,1.0,0.3002832861189802,0.4618736383442266
project,retention,0.0,4599,4236,0,0,0,0.0,0.0,0.0
project,later_alias_rotation,0.0,4599,4236,3002,0,192,1.0,0.7086874409820585,0.8295109146172975
project,later_alias_rotation,0.25,4599,4236,2692,0,192,1.0,0.6355051935788479,0.7771362586605081
project,later_alias_rotation,0.5,4599,4236,2183,0,192,1.0,0.5153446647780925,0.6801682505063094
project,later_alias_rotation,0.75,4599,4236,1236,0,192,1.0,0.29178470254957506,0.4517543859649123
project,later_alias_rotation,1.0,4599,4236,0,0,192,0.0,0.0,0.0
project,shared_anchor_collision,0.0,4599,4236,3002,0,192,1.0,0.7086874409820585,0.8295109146172975
project,shared_anchor_collision,0.05,4599,4236,2931,0,179,1.0,0.6919263456090652,0.817915445793219
project,shared_anchor_collision,0.1,4599,4236,2907,0,164,1.0,0.6862606232294618,0.8139437211255776
project,shared_anchor_collision,0.25,4599,4236,2557,0,133,1.0,0.6036355051935789,0.7528337994994848
org,retention,1.0,4599,4599,3584,22,90,1.0,0.7792998477929984,0.8759623609923011
org,retention,0.75,4599,4599,2936,10,90,1.0,0.6383996520982822,0.7792966157929662
org,retention,0.5,4599,4599,2115,2,90,1.0,0.4598825831702544,0.6300268096514745
org,retention,0.25,4599,4599,1148,0,88,1.0,0.2496194824961948,0.3995127892813642
org,retention,0.0,4599,4599,0,0,0,0.0,0.0,0.0
org,later_alias_rotation,0.0,4599,4599,3584,22,90,1.0,0.7792998477929984,0.8759623609923011
org,later_alias_rotation,0.25,4599,4599,3055,0,90,1.0,0.6642748423570342,0.7982754115495166
org,later_alias_rotation,0.5,4599,4599,2102,0,90,1.0,0.45705588171341593,0.6273690493956126
org,later_alias_rotation,0.75,4599,4599,1143,0,90,1.0,0.24853228962818003,0.39811912225705326
org,later_alias_rotation,1.0,4599,4599,0,0,90,0.0,0.0,0.0
org,shared_anchor_collision,0.0,4599,4599,3584,22,90,1.0,0.7792998477929984,0.8759623609923011
org,shared_anchor_collision,0.05,4599,4599,3551,22,88,1.0,0.7721243748641009,0.8714110429447853
org,shared_anchor_collision,0.1,4599,4599,3416,0,84,1.0,0.7427701674277016,0.8524017467248908
org,shared_anchor_collision,0.25,4599,4599,3067,0,70,1.0,0.6668841052402696,0.8001565353509001
